Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
01-10-2009,83.8182,15.1100,53.2606,47.9300,232.5100,18.8100,30.9262,26.0243,68.7900,145.7800,71.2060,34.0000,26.5865,86.3010,179.9168,211.2620,16.6100,24.5856,47.6400,71.2359,51.0400,39.4525,64.7600,23.2390,393.1980,25.7820,31.1160,237.3078,68.5870,98.6670
03-11-2009,80.2370,13.9700,49.2421,44.7400,217.2300,17.4600,28.8754,23.9746,64.5400,134.5600,66.6730,31.3000,24.8906,82.6890,168.6555,205.1580,15.4600,23.9360,42.6100,66.5462,47.7800,37.6511,62.1800,21.8440,366.2680,23.8482,29.5190,218.0864,65.4150,91.4982
01-12-2009,88.3964,15.5000,55.1408,49.4100,244.7600,19.2900,31.8317,27.1756,73.0600,149.0800,73.6800,34.8600,27.8813,90.5040,188.3127,227.7450,17.2500,25.9657,47.2700,75.8846,52.9400,42.5407,68.7900,24.3210,411.5935,27.0431,33.2080,243.4594,72.2040,103.4604
04-01-2010,92.4066,16.0500,58.8330,50.4900,253.8100,19.9900,32.5617,29.4922,75.7800,153.0200,75.7960,36.1500,28.9881,93.1490,194.5995,232.5500,17.8200,26.9756,49.8000,79.0128,55.6500,43.9757,70.1100,25.0210,431.4117,28.1107,34.3260,254.2724,73.6950,108.1593
01-02-2010,90.4353,15.2300,57.7942,48.4900,243.3600,19.5400,30.4017,28.3939,72.8400,143.3400,72.1660,34.5800,27.6112,91.2500,189.8232,224.9750,17.0600,26.8149,48.3800,76.2535,52.9700,42.6691,68.7900,24.3950,420.2714,27.5179,33.8580,241.0548,71.6080,104.8413
02-03-2010,91.4419,15.6300,57.7545,48.7500,242.7500,19.6900,30.8224,28.8964,72.8600,144.1900,72.8200,35.1800,28.0237,91.4010,191.8596,227.3930,17.1200,27.1449,48.1700,76.4814,53.5200,42.4087,69.6100,24.6540,421.2004,27.4918,34.2760,244.1363,71.5290,106.9193
01-04-2010,95.5952,16.5000,61.3412,51.0100,255.1400,20.6800,32.1732,31.3719,76.7800,152.2100,76.7240,37.1400,29.4809,98.4120,202.3964,238.3330,18.1200,28.7167,49.8400,80.1979,55.5300,44.0489,73.4000,26.0420,443.7109,28.8338,36.1860,254.0193,75.3130,114.4658
03-05-2010,96.2701,16.8100,61.5247,50.8900,257.6000,21.5100,32.2202,32.0483,77.9000,153.4400,78.4010,37.8800,29.6735,98.6600,201.6160,243.4620,17.8300,29.3429,51.5800,79.3512,56.5300,44.8452,75.8600,26.4020,455.1739,29.1411,36.7690,254.3512,76.1910,113.9555
01-06-2010,94.7156,15.5900,58.8247,48.7400,243.5800,20.6400,30.8820,30.6535,76.0700,145.9600,76.5630,35.2600,28.0599,97.5350,190.4847,237.6250,16.8600,28.9355,50.1700,75.7211,53.2000,43.2757,74.8800,25.5320,435.3831,27.7058,35.1710,245.9836,76.1290,108.4394
01-07-2010,98.7500,16.4000,62.1421,51.4800,256.3900,22.1200,32.6511,32.7716,79.7800,153.8100,81.1540,36.8700,29.5664,103.0040,201.6884,251.3910,17.6600,30.7700,52.6700,79.4758,55.3900,45.6682,79.5100,27.0790,456.7637,29.4296,37.1250,263.5297,80.7780,113.4081
