Date,Birla Sun Life Equity Fund,DSP BR Opportunities Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Equity Fund,HDFC Growth Fund,Principal Growth Fund,Reliance Growth Fund,Reliance Vision Fund,SBI Contra Fund,Tata Ethical Fund,Taurus Starshare,UTI-MNC Fund,UTI-Services Industries Fund
01-07-2009,196.98,59.06,156.04,69.98,174.85,57.76,40.37,328.02,197.91,44.16,68.14,43.11,35.85,41.7
01-08-2009,210.22,64.55,165.08,77.16,187.63,61.76,43.58,351.49,213.27,48.3,78.33,44.42,40.03,44.79
01-09-2009,213.77,65.32,168.66,77.99,190.9,62.64,43.98,362.39,214.34,48.52,81.35,44.18,40.48,46.65
01-10-2009,232.51,71.21,179.92,86.3,211.26,68.59,47.93,393.2,237.31,52.94,86.19,47.64,43.61,51.04
01-11-2009,223.08,68.62,173.91,84.02,209.02,66.86,45.97,376.28,223.84,49.8,81.78,44.25,43.42,49.21
01-12-2009,244.76,73.68,188.31,90.5,227.75,72.2,49.41,411.59,243.46,54.07,89.23,47.27,46.62,52.94
01-01-2010,252.08,75.24,192.84,92.72,231.01,73,50.06,427.35,251.91,55.68,94.39,49.32,47.91,55.22
01-02-2010,243.36,72.17,189.82,91.25,224.98,71.61,48.49,420.27,241.06,53.73,93.52,48.38,46.27,52.97
01-03-2010,237.14,71.69,187.7,90.37,223.39,70.26,47.86,413.33,239.55,52.55,92.09,47.19,47.09,52.5
01-04-2010,255.14,76.72,202.4,98.41,238.33,75.31,51.01,443.71,254.02,55.74,99.26,49.84,50.49,55.53
01-05-2010,259.9,78.72,202.92,99,244.51,76.77,51.33,457.79,256.11,56.33,100.04,51.68,51.81,57.04
01-06-2010,243.58,76.56,190.49,97.54,237.63,76.13,48.74,435.38,245.98,53.17,95.19,50.17,50.26,53.2
01-07-2010,256.39,81.15,201.69,103,251.39,80.78,51.48,456.76,263.53,57.03,100.56,52.67,54.65,55.39
01-08-2010,265.37,83.93,208.68,105.8,262.84,82.64,52.54,465.91,266.64,57.05,102.06,54.91,55.2,57.66
01-09-2010,276.11,87.93,219.74,109.72,276.3,87,53.48,483.92,276.3,59.24,106.86,57.05,56.47,59.38
01-10-2010,296.86,95.51,238.43,119.52,300.52,94.21,57.84,518.46,303.87,63.56,114.4,62.2,61.11,64.8
01-11-2010,297.35,95.13,235.08,120.21,306.97,93.76,58.41,533.83,302.37,63.81,113.59,62.22,61.41,64.18
01-12-2010,287.12,93.08,230.13,118.52,302.13,92.73,57.25,504.75,290.42,60.84,111.67,60.09,59.62,62.68
01-01-2011,287.77,93.44,230.41,119.09,298.5,93.23,57.13,500.78,290.35,61.02,113.05,60.89,60.4,63.74
01-02-2011,253.45,83.52,209.52,105.68,269.28,83.13,50.2,446.59,259.73,53.3,100,54.64,55.69,57.69
01-03-2011,248.6,83.21,210.65,105.97,268.96,84.07,49.15,439.59,257.85,52.8,100.14,54.8,54.98,57.13
01-04-2011,260.69,86.29,224.28,111.42,282.66,87.97,51.52,461.43,270.78,55.62,105.48,57.32,58.21,60.09
01-05-2011,261.18,86.93,224.43,112.21,286.33,88.46,51.52,466.42,272.96,56.07,107.8,59.32,60.78,60
01-06-2011,253.62,85.93,222.16,110.55,280.64,87.08,50.01,451.77,268.79,55.07,107.3,57.65,61.19,58.3
01-07-2011,253.45,86.04,222.83,111.83,281.05,87.72,49.78,450.89,269.23,55.23,106.95,58.26,62.83,58.95
01-08-2011,253.27,85.45,223.43,109.87,277.63,86.3,49,447.65,267.21,54.05,106.82,57.8,64.21,59.09
01-09-2011,228.51,78.59,207.14,101.55,248.36,78.95,44.38,403.57,241.86,49.36,100.95,53.42,60.59,51.52
01-10-2011,225.85,77.48,207.23,99.46,245.41,79.43,43.85,409.03,237.65,48.58,99.09,52.4,61.21,50.94
01-11-2011,233.94,80.09,216.57,102.14,253.73,82.79,45.23,424.3,245.14,50.25,101.73,54.86,61.89,53.48
01-12-2011,218.41,75.15,204.29,95.88,235.85,77.93,43.15,391.39,222.43,46.81,97.91,51.78,58.42,50.15
01-01-2012,203.23,70.03,192.57,90.94,218.74,73.42,39.47,363.55,207.47,43.79,94.24,48.39,56.75,46.81
01-02-2012,229.64,77.41,211.36,99.72,250.95,82.79,45.42,418.01,244.09,49.16,101.01,52.91,61.16,53.95
01-03-2012,235.43,78.98,219.13,104.85,262.21,85.61,47.64,431.26,252.21,51.31,105.97,53.45,64.66,56.33
01-04-2012,236.56,77.98,220.42,105.56,261.67,85.45,47.67,433.82,254.03,51.63,106.24,53.2,67.48,56.09
01-05-2012,234.51,76.25,216.57,104.83,259.51,83.67,47.99,434.6,252.08,51.61,101.89,52.87,67.98,55.48
01-06-2012,216.94,70.91,203.34,97.84,239.44,78.46,44.52,398.64,231.29,48.18,96.85,49.43,64.49,52.36
01-07-2012,233.96,75.96,217.2,105.23,257.76,84,47.73,421.83,249.08,50.58,102.45,53.8,66.64,56.62
01-08-2012,235.6,76.61,218.76,104.93,255.74,83.45,48.08,418.3,247.57,50.8,104.14,53.38,66.21,55.93
01-09-2012,236.01,76.89,219.4,104.9,247.69,83.47,48.49,419.4,241.56,50.75,108.85,52.87,67.59,55.89
01-10-2012,259.93,83.89,236.45,114.16,278.46,91.49,52.95,467.88,267.93,55.09,115.36,59.29,70.41,61.04
01-11-2012,258.91,83.68,236.43,111.66,274.16,90,52.74,465.63,260.2,54.95,115.2,58.81,70.47,60.22
01-12-2012,269.01,88.36,249.24,115.11,284.39,92.5,56.36,494.99,264.06,57.7,118.12,62.12,72.42,63.55
01-01-2013,278.57,91.56,253.69,117.72,296.88,94.76,58.21,505.38,272.01,59.09,118.88,64.02,74.6,63.04
01-02-2013,276.57,91.18,255.28,119.6,298.9,96.36,57.79,496.16,269.49,60.34,120.57,63.7,71.95,64.42
01-03-2013,258.27,85.16,241.04,113.33,275.81,89.29,53.62,453.56,247.01,57.97,116.95,58.63,68.88,62.97
01-04-2013,254.71,84.4,239.04,113.46,272.43,88.42,52.97,443.71,238.28,56.86,117.07,57.39,68.19,63.53
01-05-2013,264.73,87.2,243.31,114.29,282.15,90.87,54.88,452.8,259.56,57.74,116.98,59.64,72.63,63.37
01-06-2013,261.79,88.49,246.46,115.44,281.61,88.83,55.32,449.99,255.03,57.89,119.59,58.97,76.21,64.07
01-07-2013,256.46,87.81,242.3,114.43,272.43,86.6,54.01,438.14,250.25,55.73,120.18,57.91,74.26,62.64
01-08-2013,242.15,84.64,234.56,110.32,250.8,80.41,51.05,399.74,224.78,51.89,119.79,54.78,71.85,61.93
01-09-2013,238.72,82.06,223.47,105.28,242.31,78.05,49.78,404.62,215.68,49.51,119.81,53.04,69.33,61.53
01-10-2013,255.68,86.9,237.46,112.65,257.91,83.01,53.71,423.89,228.86,52.1,124.05,57.07,73.43,63.91
01-11-2013,281.36,95.05,258.65,124.14,289.54,90.97,59.54,464.58,252.92,56.16,130.61,62.84,76.94,70.32
01-12-2013,283,93.36,257.88,124.14,291.44,90.16,59.27,467.4,254.62,56.22,131.34,63.21,77.78,69.6
01-01-2014,296.84,96.62,266.75,128.97,304.88,92.64,62.6,491.9,269.31,57.81,137.68,64.83,82.44,74.16
