Date,Franklin India Bluechip Fund - (G),Franklin India Opportunities Fund - (G),HDFC Large Cap Fund (G),HDFC Top 200 Fund (G),ICICI Pru Top 100 Fund - (G),ICICI Pru Top 200 Fund - (G),LIC NOMURA MF Equity Fund - (G),Sundaram Growth Fund - (G),Tata Pure Equity Fund - (G),UTI-Equity Fund (G),UTI-MasterPlus (G),UTI-Mastershare (G),UTI-Top 100 Fund (G)
01-09-2011,398,28.6,74.16,188.86,120.48,99.67,23.49,113.1,197.35,51.05,110.99,169.43,94.11
01-10-2011,398.31,28.03,72.69,187.56,119.5,98.64,23.06,111.46,196.47,50.6,110.13,168.22,94.26
01-11-2011,416.52,29.25,75.58,195.68,127.75,103.4,24.26,116.65,204.51,52.7,115.05,174,98.11
01-12-2011,395.57,27.63,71.03,183.15,123.53,96.23,22.64,110.25,193.55,50.2,108.72,164.52,93.2
01-01-2012,373.33,25.99,66.7,170.83,115.2,89.1,21.21,102.3,183.93,47.46,101.19,155.06,90.08
01-02-2012,415.34,29,73.25,195.73,133.41,102.54,23.83,116.87,200.84,52.46,112.09,170.34,96.73
01-03-2012,429.63,29.58,75.33,201.96,137.19,105.64,24.41,118.98,208.24,54.36,115.11,175.12,99.63
01-04-2012,426.53,29.31,76.6,201.38,136.93,105.63,24.23,117.83,208.66,54.6,116.26,174.34,99.81
01-05-2012,415.83,28.98,75.97,199.2,135.69,104.29,24.2,115.86,208.37,54.4,114.13,171.35,96.31
01-06-2012,389.83,26.86,70.11,183.66,128.06,96.24,22.41,106.16,195.09,50.84,106.3,161.35,91.36
01-07-2012,419.04,28.82,75.36,199.56,136.97,104.8,24.41,114.87,210.85,54.97,115.02,174.51,97.9
01-08-2012,420.67,28.82,76.56,197.49,136.22,105.59,24.18,115.1,214.62,55.38,115.15,175.25,99.38
01-09-2012,418.14,28.86,77.53,193.37,135.09,105.11,24.35,114.73,216.74,55.41,115.17,174.88,100.3
01-10-2012,449.07,31.25,83.51,215.27,145.59,115.19,26.26,126.5,229.94,59.87,126.06,189.45,108.47
01-11-2012,445.46,30.96,83.47,211.74,145.27,114.57,25.98,125.02,227.88,59.67,125.43,186.42,107.87
01-12-2012,466.79,32.58,87.92,220.9,150.89,119.46,27.19,128.95,236.92,61.86,130.34,193.42,111.62
01-01-2013,476.69,33.49,91.08,228.94,154.3,122.84,27.47,133.72,238.19,63.06,133.13,195.07,111.23
01-02-2013,481.43,33.12,90.95,230.19,158.28,121.93,27.4,132.03,238.53,63.26,134.55,196.37,110.14
01-03-2013,459.43,31.01,87.27,214.3,148.71,115.09,26.1,122.45,227.48,59.97,127.2,186.78,105.61
01-04-2013,452.82,30.44,86.55,211.55,146.9,112.82,25.97,120.13,226.46,59.24,126.1,186.72,104.37
01-05-2013,468.17,31.46,89.56,221.15,151.09,117.6,26.9,126,234.06,61.92,131.23,193.85,109.27
01-06-2013,468.1,31.69,91.96,219.87,149.63,118.31,26.69,124.53,236.94,62.93,130.94,194.94,110.64
01-07-2013,459.46,31.41,90.21,213.88,147.47,116.63,26.14,123.07,234.25,61.62,130.05,191.54,108.64
01-08-2013,439.73,29.73,85.77,198.97,143.58,112.17,25.17,117.69,232.08,60.08,127.2,186.32,107.02
01-09-2013,420.88,28.09,81.68,192.38,145.52,109.22,24.19,112.45,224.45,57.4,121.39,177.56,102.16
01-10-2013,446.85,30.24,86.67,203.84,153.16,114.69,25.42,118.44,236.06,60.93,129.12,188.14,107.64
01-11-2013,489.87,33.27,91.92,228.14,167.43,125.01,28.08,130.25,253.54,65.68,140.18,203.81,115.13
01-12-2013,481.46,33.11,92.26,227.54,166.12,124.08,27.98,128.66,248.05,64.68,136.54,199.82,113.02
01-01-2014,493.52,33.95,94.63,235.42,170.75,129.44,28.79,132.4,255.1,67.43,141.18,205.63,117.34
